Name(ENG),Name(KOR),Code,Type,Rarity,Recipe,Drop,Stat,Image Name
STG-44,STG-44,STG,Assault Rifle,Uncommon,FED+GUN,,"AP +18,VR +1.5,EN +2,",STG-44.png
AK-47,AK-47,AK4,Assault Rifle,Rare,STG+PWR,,"AP +29,VR +1.5,EN +2,",AK-47.png
M16A1,M16A1,M16,Assault Rifle,Rare,STG+LEA,,"AP +25,VR +1.5,EN +4,",M16A1.png
Machine Gun,기관총,MGU,Assault Rifle,Epic,STG+MOT,,"AP +20,AS +10%,VR +1.5,EN +11,",Machine Gun.png
Gatling Gun,개틀링건,GGU,Assault Rifle,Epic,MGU+OIL,,"AP +50,EN +14,AS +15%,VR +1.5,Max Ammo: 30,",Gatling Gun.png
AK-12,AK-12,AK1,Assault Rifle,Epic,AK4+GLP,,"AP +90,VR +1.5,CC +25%,EN +2,Max Ammo: 30,",AK-12.png
XCR,XCR,XCR,Assault Rifle,Epic,M16+MAG,,"AP +55,EN +10,MH +420,VR +1.5,Max Ammo: 30,",XCR.png
Long Rifle,화승총,LRI,Sniper Rifle,Common,,"DK 3,FR 4","AP +34,SP -0.1",Long Rifle.png
Springfield,스프링필드,SPR,Sniper Rifle,Uncommon,LRI+LAS,,"AP +50,SP -0.1,VR +1.5,",Springfield.png
Harpoon Gun,하푼건,HGU,Sniper Rifle,Rare,SPR+SSP,,"AP +64,SP -0.1,VR +2,",Harpoon Gun.png
Golden Rifle,금교전,GRI,Sniper Rifle,Rare,SPR+GLD,,"AP +73,SP -0.15,VR +2.5,SA +18%,",Golden Rifle.png
Railgun,레일건,RAI,Sniper Rifle,Rare,SPR+EPA,,"AP +78,AS +20%,SP -0.15,VR +2,",Railgun.png
Tac-50,Tac-50,TAC,Sniper Rifle,Epic,HGU+BPR,,"AP +140,LS +20%,SP -0.08,VR +2.5,Max Ammo: 2,",Tac-50.png
Intervention,인터벤션,INT,Sniper Rifle,Epic,HGU+TCA,,"AP +110,VR +4.5,AR +1,Max Ammo: 2,",Intervention.png
NTW-20,NTW-20,NTW,Sniper Rifle,Epic,GRI+ISH,,"AP +95,SA +27%,SP -0.15,VR +2.5,Max Ammo: 1,",NTW-20.png
Polaris,폴라리스,POL,Sniper Rifle,Epic,RAI+WPW,,"AP +135,AS +40%,SP -0.1,VR +2,Max Ammo: 3,",Polaris.png
The Deadly Ray,사사성광,TRA,Sniper Rifle,Legendary,MST+GRI,,"AP +95,SA +36%,SP -0.15,VR +2.5,Max Ammo: 1,",The Deadly Ray.png
Needle,바늘,NEE,Rapier,Common,,"AL 7,HT 6,HS 6","AP +3,CD +25%,",Needle.png
Rapier,레이피어,RAP,Rapier,Uncommon,NEE+IRO,,"AP +16,CD +25%,",Rapier.png
Apricot Sword,매화검,ASW,Rapier,Rare,RAP+FFA,,"AP +21,CC +10%,CD +25%,CR +10%,",Apricot Sword.png
Sword of Justice,활빈검,SJU,Rapier,Epic,RAP+CAU,,"AP +30,HR +1.5,SR +200%,CD +25%,CR +15%",Sword of Justice.png
Durendal Mk2,듀랜달 Mk2,DMK,Rapier,Epic,ASW+LAS,,"AP +45,CD +25%,CC +10%,VR +3,CR +10%,",Durendal Mk2.png
Volticletto,볼틱레토,VOL,Rapier,Epic,ASW+EPA,,"AP +47,AS +40%,CD +25%,CC +10%,CR +10%,",Volticletto.png
Meteor Claymore,유성검,MCL,Rapier,Epic,ASW+MET,,"AP +75,CD +50%,CR +10%,",Meteor Claymore.png
Joyeuse,주와이외즈,JOY,Rapier,Epic,RAP+MIT,,"AP +75,CD +30%,SP +0.2,",Joyeuse.png
Mistilteinn,미스틸테인,MTT,Rapier,Legendary,SJU+BRA,,"AP +30,HR +1.5,SR +200%,CD +25%,CR +15%,SA +20%,",Mistilteinn.png
Short Spear,단창,SSP,Spear,Common,,"PN 5,TP 4,FR 4",AP +15,Short Spear.png
Bamboo Spear,죽창,BSP,Spear,Uncommon,SSP+BAM,,"AP +37,",Bamboo Spear.png
Bident,바이던트,BID,Spear,Rare,BSP+KKN,,"AP +52,",Bident.png
Pike,파이크,PIK,Spear,Rare,SSP+STE,,"AP +67,SP -0.1,",Pike.png
Halberd Axe,도끼창,HAX,Spear,Rare,HCH+PIK,,"AP +90,SP -0.1,",Halberd Axe.png
Sharpened Spear,강창,SHS,Spear,Rare,BSP+FEA,,"AP +40,SP +0.1,",Sharpened Spear.png
Gentian Silver Gun,애각창,GSG,Spear,Epic,SHS+WPW,,"AP +105,SP +0.2,",Gentian Silver Gun.png
Eighteen Foot Spear,장팔사모,ESP,Spear,Epic,SHS+ION,,"AP +110,AS +40%,",Eighteen Foot Spear.png
Cosmic Bident,코스믹 바이던트,CBI,Spear,Epic,BID+MST,,"AP +150,",Cosmic Bident.png
Lance of Poseidon,트리아이나,LPO,Spear,Epic,BID+PIK,,"AP +120,SP -0.1,",Lance of Poseidon.png
Fangtian Huaji,방천화극,FHU,Spear,Epic,HAX+GFA,,"AP +88,SA +40,SP -0.1,HS -40%,",Fangtian Huaji.png
Dragon Guandao,청룡언월도,DGD,Spear,Epic,HAX+ISH,,"AP +130,SP -0.1,",Dragon Guandao.png
Blazing Lance,화첨창,BLA,Spear,Legendary,TFI+BSP,,"AP +130,HR +1.5,SR +1.5,EN +30,",Blazing Lance.png
Spear of Longinus,롱기누스의 창,SLO,Spear,Legendary,VBS+PIK,,"AP +150,LS +20%,",Spear of Longinus.png
Hammer,망치,HAM,Hammer,Common,,"PN 7,BC 6,AL 8",AP +16,Hammer.png
Warhammer,워해머,WAR,Hammer,Uncommon,HAM+SRO,,"AP +40,",Warhammer.png
Morning Star,모닝 스타,MNS,Hammer,Rare,WAR+IBA,,"AP +55,",Morning Star.png
Black Stag Hammer,사슴 망치,BHA,Hammer,Rare,WAR+LEA,,"AP +56,",Black Stag Hammer.png
Fang Mace,낭아봉,FMA,Hammer,Epic,MNS+HST,,"AP +55,SA +35,",Fang Mace.png
Hammer of Dagda,다그다의 망치,HDA,Hammer,Epic,BHA+SRE,,"AP +95,HR +250%,",Hammer of Dagda.png
Hammer of Thor,토르의 망치,HTH,Hammer,Epic,BHA+ION,,"AP +120,AS +40%,",Hammer of Thor.png
Evening Star,개밥바라기,EST,Hammer,Epic,MST+MNS,,"AP +145,",Evening Star.png
Magic Stick,마법봉,MGS,Hammer,Epic,WAR+MPE,,"AP +60,LS +30%,SA +27%,",Magic Stick.png
Branch,나뭇가지,BRA,Bat,Common,,채집,AP +5,Branch.png
Short Rod,단봉,SRO,Bat,Common,,"DK 5,PN 5,TP 5",AP +15,Short Rod.png
Long Rod,장봉,LRO,Bat,Uncommon,SRO+BAM,,AP +25,Long Rod.png
Goblin Bat,도깨비 방망이,GBA,Bat,Rare,LRO+NAI,,"AP +30,HN -40%,",Goblin Bat.png
Umbrella,우산,UMB,Bat,Rare,LRO+FAN,,"AP +30,SA +14,",Umbrella.png
Torch,횃불,TOR,Bat,Rare,FDU+OLC,,"AP +40,HR +0.8,AS +10%,SP +0.1",Torch.png
Statue of Soteria,구원의 여신상,SSO,Bat,Epic,TOR+DOL,,"AP +90,HR +1.5,SR +60%,AS +15%,SP +0.15,LS +10%,",Statue of Soteria.png
Mallet,타구봉,MAL,Bat,Epic,GBA+MOT,,"AP +80,AS +50%,HN -40%,",Mallet.png
Spy Umbrella,스파이의 우산,SUM,Bat,Epic,UMB+POI,,"AP +40,SA +25,",Spy Umbrella.png
Monkey King Bar,여의봉,MBA,Bat,Legendary,FCO+LRO,,"AP +140,",Monkey King Bar.png
Baseball,야구공,BAS,Throw,Common,,,AP +12,Signed Ball.png
Iron Ball,쇠구슬,IBA,Throw,Common,,"AR 5,FR 7,FT 7",AP +12,Iron Ball.png
Grenade,수류탄,GRE,Throw,Uncommon,IBA+GUN,,"AP +25,EN +20,",Grenade.png
Molotov Cocktail,화염병,MCO,Throw,Uncommon,GLB+OIL,,"AP +22,AS +15%,",Molotov Cocktail.png
Signed Ball,싸인볼,SBA,Throw,Uncommon,BAS+FPE,,"AP +30,",팬키트에없음
Sling,슬링,SLI,Throw,Rare,SBA+RUB,,"AP +42,",Sling.png
Flour Bomb,밀가루폭탄,FBO,Throw,Rare,WPW+MCO,,"AP +58,AS +15%,",Flour Bomb.png
Ball Lightning,볼 라이트닝,BLI,Throw,Rare,IBA+DBA,,"AP +24,AS +20%,",Ball Lightning.png
Flubber,플러버,FLU,Throw,Rare,RUB+HWA,,"AP +42,",Flubber.png
Spiky Bouncy Ball,가시 탱탱볼,SBB,Throw,Rare,FLU+NAI,,"AP +36,HS -40%,",Spiky Bouncy Ball.png
High Explosive Grenade,소이탄,HEG,Throw,Epic,MCO+BLI,,"AP +70,AS +50%,",High Explosive Grenade.png
Incendiary Bomb,고폭 수류탄,IBO,Throw,Epic,GRE+RDX,,"AP +56,EN +60",Incendiary Bomb.png
Grenade of Antioch,안티오크의 수류탄,GAN,Throw,Epic,IBO+CRS,,"AP +80,EN +80,",Grenade of Antioch.png
David's Sling,다비드슬링,DSL,Throw,Epic,SLI+SRE,,"AP +60,HR +150%,EN +30,",David_s Sling.png
Smoke Bomb,연막탄,SMB,Throw,Epic,FBO+COL,,"AP +90,AS +40%,",Smoke Bomb.png
Ruthenium Marble,루테늄 구슬,RMA,Throw,Epic,SBB+GLD,,"AP +80,SA +20%,HS -40%,",Ruthenium Marble.png
Razor,면도칼,RAZ,Shuriken,Common,,"HS 6,CP 6,SC 6","AP +11,",Razor.png
Playing Cards,트럼프 카드,PCA,Shuriken,Common,,"HT 6,AV 7","AP +4,CC +5%",Playing Cards.png
Chalk,분필,CHL,Shuriken,Common,,"FT 7,CP 6,SC 6","AP +12,",Chalk.png
Dart,다트,DAR,Shuriken,Uncommon,NEE+FEA,,"AP +16,SP +0.1,CD +20%,",Dart.png
Vintage Cards,빈티지 카드,VCA,Shuriken,Uncommon,PCA+FPE,,"AP +15,CC +10%,",Vintage Cards.png
Throwing Stars,표창,TST,Shuriken,Uncommon,RAZ+PWR,,"AP +27,",Throwing Stars.png
Onyx Dagger,흑건,ODA,Shuriken,Uncommon,RAZ+CRS,,"AP +17,EN +10,",Onyx Dagger.png
Charm,부적,CHM,Shuriken,Rare,VCA+BSC,,"AP +40,SA +10%,",Charm.png
Willow Leaf Spike,유엽비도,WSP,Shuriken,Rare,ODA+BRA,,"AP +17,EN +20,",Willow Leaf Spike.png
Chakram,챠크람,CHK,Shuriken,Rare,TST+STM,,"AP +38,",Chakram.png
Apricot Flower Tag,매화비표,ATA,Shuriken,Rare,WSP+FLO,,"AP +14,CR +10%,EN +30,",Apricot Flower Tag.png
Venom Dart,독침,VDA,Shuriken,Rare,NEE+POI,,"AP +55,CD +20%,SA +15,",Venom Dart.png
Dharma Chakram,법륜,DCH,Shuriken,Rare,CHK+BSC,,"AP +34,SA +15%,",Dharma Chakram.png
Plumbata,플럼바타,PLU,Shuriken,Rare,DAR+STE,,"AP +48,SP +0.1,CD +25%,",Plumbata.png
Cards of Tyranny,미치광이왕의 카드,CTY,Shuriken,Epic,VCA+ION,,"AP +45,AS +30%,CC +20%,",Cards of Tyranny.png
Mystic Jade Charm,옥전결,MCH,Shuriken,Epic,CHM+ASH,,"AP +60,SA +12,SA +12%,",Mystic Jade Charm.png
Fuhma Shuriken,풍마 수리검,FSH,Shuriken,Epic,ATA+ALC,,"AP +40,CR +15%,EN +36,",Fuhma Shuriken.png
Frost Venom Dart,빙백은침,FVD,Shuriken,Epic,VDA+ICE,,"AP +80,CD +50%,SA +20,",Frost Venom Dart.png
Azure Dagger,푸른색 단도,ADA,Shuriken,Epic,ODA+POI,,"AP +20,EN +33,SA +24,",Azure Dagger.png
Flechette,플레셋,FLE,Shuriken,Epic,PLU+WPW,,"AP +80,SP +0.2,CD +40%,",Flechette.png
Wind and Fire Wheels,건곤권,WWH,Shuriken,Epic,DCH+BAM,,"AP +55,SA +17%,",Wind and Fire Wheels.png
Death Rune,생사부,DRU,Shuriken,Epic,CHM+TOL,,"AP +80,SA +20%,",Death Rune.png
Sudarsana,수다르사나,SUD,Shuriken,Legendary,FCO+TST,,"AP +125,",Sudarsana.png
Petal Torrent,만천화우,PTR,Shuriken,Legendary,FVD+SBT,,"AP +80,CD +50%,EN +140,SA +25,",Petal Torrent.png
Bow,양궁,BOW,Bow,Common,,"AR 4,CP 4","AP +11,",Bow.png
Wooden Bow,목궁,WBO,Bow,Uncommon,BRA+PWR,,"AP +26,",Wooden Bow.png
Longbow,장궁,LON,Bow,Uncommon,BOW+RUB,,"AP +25,",Longbow.png
Composite Bow,컴포지트 보우,CBO,Bow,Uncommon,LON+NAI,,"AP +16,HN -40%,",Composite Bow.png
Strong Bow,강궁,STO,Bow,Rare,WBO+OIL,,"AP +26,AS +15%,",Strong Bow.png
Stallion Bow,국궁,SAO,Bow,Rare,MBO+STM,,"AP +20,EN +25,",Stallion Bow.png
Mighty Bow,벽력궁,MBO,Bow,Rare,LON+GUN,,"AP +20,EN +11,",Mighty Bow.png
Pellet Bow,탄궁,PBO,Bow,Rare,WBO+HST,,"AP +55,",Pellet Bow.png
Scorchbow,화전,SCO,Bow,Rare,LON+LIG,,"AP +24,SA +18,",Scorchbow.png
Ancient Bolt,편전,ABO,Bow,Epic,SAO+BAM,,"AP +55,EN +40,",Ancient Bolt.png
Golden-Ratio Bow,골든래쇼 보우,GBO,Bow,Epic,PBO+GLD,,"AP +64,SA +20%,",Golden-Ratio Bow.png
Twinbow,트윈보우,TWI,Bow,Epic,STO+CBO,,"AP +70,AS +50%,HN -40%,",Twinbow.png
Elemental Bow,엘리멘탈보우,EBO,Bow,Epic,SCO+WFA,,"AP +60,SP +0.1,SA +45,HS -40%,",Elemental Bow.png
Failnaught,페일노트,FAI,Bow,Legendary,VBS+STO,,"AP +80,AS +15%,LS +15%,",Failnaught.png
Short Crossbow,석궁,SCR,Crossbow,Common,,,AP +12,Short Crossbow.png
Long Crossbow,쇠뇌,LOC,Crossbow,Uncommon,SCR+PWR,,"AP +30,",Long Crossbow.png
Crossbow,크로스보우,CRB,Crossbow,Uncommon,SCR+BAM,,"AP +30,",Crossbow.png
Power Crossbow,노,PCR,Crossbow,Rare,LOC+RUB,,"AP +42,",Power Crossbow.png
Laser Crossbow,저격궁,LAC,Crossbow,Rare,CRB+LAS,,"AP +30,VR +2.5,",Laser Crossbow.png
Heavy Crossbow,헤비 크로스보우,HCR,Crossbow,Rare,LOC+STE,,"AP +72,SP -0.1,",Heavy Crossbow.png
Steel Bow,철궁,SBO,Crossbow,Rare,CRB+ISH,,"AP +60,",Steel Bow.png
The Legend of the General,대황,TGE,Crossbow,Epic,SBO+OLC,,"AP +75,HR +2,AS +50%,",The Legend of the General.png
Ballista,발리스타,BAL,Crossbow,Epic,HCR+SSP,,"AP +115,AS -10%,SP -0.1,",Ballista.png
Sniper Crossbow,저격 크로스보우,SNC,Crossbow,Epic,LAC+SSC,,"AP +85,VR +5,AR +1.2,",Sniper Crossbow.png
The Golden Ghost,영광금귀신기노,TGH,Crossbow,Epic,PCR+RDX,,"AP +70,EN +37,",The Golden Ghost.png
Sharanga,샤릉가,SHR,Crossbow,Legendary,FCO+CRB,,"AP +140,",Sharanga.png
Brass Knuckles,너클,BKN,Glove,Common,,"FR 5,CM 5",AP +10,Brass Knuckles.png
Cotton Glove,목장갑,CGL,Glove,Common,,"HT 4,HS 4",AP +7,Cotton Glove.png
Leather Glove,글러브,LGL,Glove,Uncommon,CGL+LEA,,"AP +18,",Leather Glove.png
Iron Knuckles,아이언 너클,IKN,Glove,Uncommon,BKN+IRO,,"AP +20,",Iron Knuckles.png
Gauntlet,건틀릿,GAU,Glove,Rare,CGL+STE,,"AP +32,SP -0.1,",Gauntlet.png
Wing Knuckles,윙 너클,WKN,Glove,Rare,IKN+FEA,,"AP +20,SP +0.1,",Wing Knuckles.png
Bone Gauntlet,귀골 장갑,BGU,Glove,Rare,GAU+TTS,,"AP +35,DF +13,SP -0.1,",Bone Gauntlet.png
Shatter Shell Gauntlet,벽력귀투,SGA,Glove,Rare,GAU+GUN,,"AP +32,SP -0.1,EN +15,",Shatter Shell Gauntlet.png
Glass Knuckles,유리 너클,GKN,Glove,Rare,IKN+GPI,,"AP +28,CC +10%,",Glass Knuckles.png
Phoenix Gloves,회단 장갑,PGL,Glove,Rare,LGL+ASH,,"AP +27,SA +30,",Phoenix Gloves.png
One Inch Punch,단영촌천투,OPU,Glove,Epic,BGU+DOL,,"AP +50,DF +25,SR(%) +50%,LS +10%,",One Inch Punch.png
Divine Fist,디바인 피스트,DFI,Glove,Epic,SGA+CRS,,"AP +35,EN +33,SP -0.1,",Divine Fist.png
Bloodwing Knuckles,블러드윙 너클,BWK,Glove,Epic,WKN+RBY,,"AP +53,MH +300,SP +0.1,",Bloodwing Knuckles.png
Frost Petal Hand,빙화현옥수,FHA,Glove,Epic,PGL+ICE,,"AP +27,CR +15%,SA +38,",Frost Petal Hand.png
Buddha's Palm,여래수투,BPA,Glove,Epic,PGL+BSA,,"AP +33,CR +10%,SA +18%,",Buddha_s Palm.png
Brasil Gauntlet,브레이질 건틀릿,BGA,Glove,Epic,BGU+OLC,,"AP +42,DF +13,HR +1,AS(%) +30%,SP -0.1,",Brasil Gauntlet.png
White Claw Punch,소수,WPU,Glove,Epic,GKN+WPW,,"AP +55,CC +25%,",White Claw Punch.png
Imperial Silk Glove,천잠장갑,IGL,Glove,Epic,MIS+LGL,,"AP +85,SP +0.2,",Imperial Silk Glove.png
Bamboo,대나무,BAM,Tonfa,Common,,"PN 7,TP 7,AR 6,CM 7,FR 7",AP +12,Bamboo.png
Tonfa,톤파,TNF,Tonfa,Uncommon,BAM+BRA,,"AP +23,DF +8,",Tonfa.png
Police Baton,경찰봉,PBA,Tonfa,Rare,TNF+STM,,"AP +35,DF +8,",Police Baton.png
Ryukyu Tonfa,류큐톤파,RTF,Tonfa,Rare,TNF+WPW,,"AP +38,DF +18,",Ryukyu Tonfa.png
Tactical Tonfa,택티컬 톤파,TTF,Tonfa,Epic,PBA+BPR,,"AP +60,DF +10,LS +20%,",Tactical Tonfa.png
Mai Sok,마이쏙,MSO,Tonfa,Epic,RTF+SRO,,"AP +45,DF +20,HR +100%,",Mai Sok.png
Plasma Tonfa,플라즈마 톤파,PTF,Tonfa,Epic,RTF+LAS,,"AP +65,DF +18,VR +2.5,",Plasma Tonfa.png
Starter Guitar,보급형 기타,SGU,Guitar,Common,,,AP +5,Starter Guitar.png
Golden Bridge,골든 브릿지,GBG,Guitar,Uncommon,SGU+GLD,,"AP +8,SA +14%,",Golden Bridge.png
Single Coil Pickup,싱글 픽업,SPI,Guitar,Uncommon,SGU+DBA,,"AP +8,AS +15%,EN +2,",Single Coil Pickup.png
Ruby Special,루비 스페셜,RSP,Guitar,Rare,SPI+RBY,,"AP +20,MH +300,AS +20%,EN +2,",Ruby Special.png
Humbucker Pickup,험버커 픽업,HPI,Guitar,Rare,GBG+SSC,,"AP +25,VR +3,SA +15%,",Humbucker Pickup.png
King-V,King-V,KIV,Guitar,Rare,GBG+SCI,,"AP +13,SA +16%,",King-V.png
Nocaster,노캐스터,NOC,Guitar,Rare,SPI+BPR,,"AP +15,AS +20%,LS +10%,EN +15,",Nocaster.png
Superstrat,슈퍼스트랫,SUP,Guitar,Rare,SPI+BAM,,"AP +19,AS +15%,EN +2,",Superstrat.png
Wild Horse,야생마,WHO,Guitar,Rare,SPI+OIL,,"AP +9,AS +25%,EN +6,",Wild Horse.png
Bohemian,보헤미안,BHM,Guitar,Epic,RSP+PCA,,"AP +50,MH +380,AS +20%,CC +20%,EN +2,",Bohemian.png
Stairway to Heaven,천국의 계단,STH,Guitar,Epic,HPI+HGR,,"AP +52,HR +200%,SA +20%,VR +4,",Stairway to Heaven.png
Purple Haze,퍼플 헤이즈,PHA,Guitar,Epic,KIV+ASH,,"AP +85,SA +22%,",Purple Haze.png
Satisfaction,새티스팩션,SAT,Guitar,Epic,NOC+STN,,"AP +30,AS +30%,LS +10%,EN +14,",Satisfaction.png
Wonderful Tonight,원더풀 투나잇,WTO,Guitar,Epic,SUP+MET,,"AP +100,AS +45%,EN +2,",Wonderful Tonight.png
The Wall,더 월,TWA,Guitar,Epic,SUP+WPW,,"AP +70,AS +18%,EN +2,",The Wall.png
Teen Spirit,틴 스피릿,TSP,Guitar,Epic,WHO+BSA,,"AP +10,AS +25%,EN +23,",Teen Spirit.png
Steel Chain,쇠사슬,STC,Nunchaku,Common,,"BC 6,AL 6,CM 7",AP +11,Steel Chain.png
Nunchaku,눈차크,NUN,Nunchaku,Uncommon,STC+SCM,,AP +27,Nunchaku.png
Sharper,샤퍼,SHP,Nunchaku,Rare,NUN+NAI,,"AP +19,HS -40%",Sharper.png
Bleeder,블리더,BLE,Nunchaku,Rare,NUN+RAZ,,AP +38,Bleeder.png
